entidad,ran_ingr,sexostt,sexos1,sexos2
"29",2,"43","22","21"
"29",3,"53","26","27"
"29",4,"18","11","7"
"29",5,"4","2","2"
"29",6,"1","0","1"
"29",7,"1","0","1"
"29",8,"0","0","0"
"29",9,"0","0","0"
"29",10,"0","0","0"
"29",11,"0","0","0"
"29",12,"0","0","0"
"29",13,"0","0","0"
"29",14,"0","0","0"
"29",15,"0","0","0"
"29",16,"0","0","0"
"29",99,"","",""
"30",1,"0","0","0"
"30",2,"1","1","0"
"30",3,"7","5","2"
"30",4,"145","84","61"
"30",5,"134","67","67"
"30",6,"34","23","11"
"30",7,"0","0","0"
"30",8,"22","10","12"
"30",9,"23","16","7"
"30",10,"0","0","0"
"30",11,"7","5","2"
"30",12,"5","3","2"
"30",13,"1","1","0"
"30",14,"0","0","0"
"30",15,"0","0","0"
"30",16,"10","7","3"
"30",99,"","",""
"31",1,"0","0","0"
"31",2,"1","0","1"
"31",3,"109","80","29"
"31",4,"135","64","71"
"31",5,"32","20","12"
"31",6,"34","14","20"
"31",7,"31","13","18"
"31",8,"32","14","18"
"31",9,"3","2","1"
"31",10,"0","0","0"
"31",11,"0","0","0"
"31",12,"0","0","0"
"31",13,"2","0","2"
"31",14,"0","0","0"
"31",15,"4","3","1"
"31",16,"4","1","3"
"31",99,"","",""
"32",1,"0","0","0"
"32",2,"0","0","0"
"32",3,"14","13","1"
"32",4,"50","27","23"
"32",5,"41","22","19"
"32",6,"14","7","7"
"32",7,"7","4","3"
"32",8,"4","1","3"
"32",9,"0","0","0"
"32",10,"1","1","0"
"32",11,"1","1","0"
"32",12,"0","0","0"
"32",13,"0","0","0"
"32",14,"2","0","2"
"32",15,"0","0","0"
"32",16,"1","1","0"
"32",99,"","",""
