entidad,mater_ja,mesolutt,mesolu1,mesolu2,mesolu3,mesolu4,mesolu5,mesolu6,mesolu7,mesolu8,mesolu9,mesolu10,mesolu11,mesolunt
"24",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"24",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"24",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"24",9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"25",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"25",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"25",3,"11","11","0","0","0","0","0","0","0","0","0","",""
"25",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"25",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"25",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"25",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"25",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"25",9,"","","","","","","","","","","","",""
"26",1,"72","45","27","0","0","0","0","0","0","0","0","",""
"26",2,"443","203","240","0","0","0","0","0","0","0","0","",""
"26",3,"1439","820","619","0","0","0","0","0","0","0","0","",""
"26",4,"509","384","125","0","0","0","0","0","0","0","0","",""
"26",5,"0","0","0","0","0","0","0","0","0","0","0","",""
"26",6,"0","0","0","0","0","0","0","0","0","0","0","",""
"26",7,"0","0","0","0","0","0","0","0","0","0","0","",""
"26",8,"0","0","0","0","0","0","0","0","0","0","0","",""
"26",9,"","","","","","","","","","","","",""
"27",1,"NSS","NSS","0","0","0","0","0","0","0","0","0","",""
"27",2,"NSS","NSS","0","0","0","0","0","0","0","0","0","",""
"27",3,"NSS","NSS","0","0","0","0","0","0","0","0","0","",""
"27",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"27",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"27",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"27",7,"291","291","0","0","0","0","0","0","0","0","0","",""
"27",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"27",9,"","","","","","","","","","","","",""
"28",1,"171","162","1","3","0","0","0","0","0","5","0","",""
"28",2,"133","133","0","0","0","0","0","0","0","0","0","",""
"28",3,"1004","976","0","10","0","0","0","0","0","18","0","",""
"28",4,"107","99","0","8","0","0","0","0","0","0","0","",""
"28",5,"1","1","0","0","0","0","0","0","0","0","0","",""
"28",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"28",7,"0","0","0","0","0","0","0","0","0","0","0","",""
"28",8,"414","400","2","5","0","1","0","0","0","6","0","",""
"28",9,"","","","","","","","","","","","",""
"29",1,"18","18","0","0","0","0","0","0","0","0","0","",""
"29",2,"41","41","0","0","0","0","0","0","0","0","0","",""
"29",3,"22","22","0","0","0","0","0","0","0","0","0","",""
"29",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"29",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"29",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"29",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"29",8,"2","2","0","0","0","0","0","0","0","0","0","",""
"29",9,"","","","","","","","","","","","",""
"30",1,"1132","783","349","0","0","0","0","0","0","0","0","",""
"30",2,"330","271","59","0","0","0","0","0","0","0","0","",""
"30",3,"2237","1957","280","0","0","0","0","0","0","0","0","",""
"30",4,"49","48","1","0","0","0","0","0","0","0","0","",""
"30",5,"9","9","0","0","0","0","0","0","0","0","0","",""
"30",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"30",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"30",8,"348","254","94","0","0","0","0","0","0","0","0","",""
"30",9,"","","","","","","","","","","","",""
"31",1,"NSS","NSS","0","0","0","0","0","0","0","0","0","",""
"31",2,"NSS","NSS","0","0","0","0","0","0","0","0","0","",""
"31",3,"NSS","NSS","0","0","0","0","0","0","0","0","0","",""
"31",4,"106","106","0","0","0","0","0","0","0","0","0","",""
"31",5,"84","84","0","0","0","0","0","0","0","0","0","",""
"31",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"31",7,"1487","1487","0","0","0","0","0","0","0","0","0","",""
"31",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"31",9,"","","","","","","","","","","","",""
"32",1,"12","12","0","0","0","0","0","0","0","0","0","",""
"32",2,"22","22","0","0","0","0","0","0","0","0","0","",""
"32",3,"501","501","0","0","0","0","0","0","0","0","0","",""
"32",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"32",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"32",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"32",7,"0","0","0","0","0","0","0","0","0","0","0","",""
"32",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"32",9,"","","","","","","","","","","","",""
