entidad,delitos,acdecttt,acdect1,acdect2,acdect3,acdect4,acdect5,acdect6
"07",91900,"10","1","1","","1","7",""
"07",999999,"","","","","","",""
"08",10100,"327","NA","NA","","308","19",""
"08",10200,"NA","NA","NA","","NA","NA",""
"08",10300,"2","NA","NA","","2","0",""
"08",10400,"1871","NA","NA","","1866","5",""
"08",10900,"92","NA","NA","","69","23",""
"08",20100,"42","NA","NA","","38","4",""
"08",20200,"0","NA","NA","","0","0",""
"08",20300,"164","NA","NA","","163","1",""
"08",20400,"NA","NA","NA","","NA","NA",""
"08",20500,"3","NA","NA","","3","0",""
"08",20600,"0","NA","NA","","0","0",""
"08",20601,"0","NA","NA","","0","0",""
"08",20602,"0","NA","NA","","0","0",""
"08",20603,"0","NA","NA","","0","0",""
"08",20604,"0","NA","NA","","0","0",""
"08",20609,"0","NA","NA","","0","0",""
"08",20699,"","","","","","",""
"08",20900,"0","NA","NA","","0","0",""
"08",30100,"254","NA","NA","","253","1",""
"08",30200,"0","NA","NA","","0","0",""
"08",30300,"11","NA","NA","","11","0",""
"08",30400,"174","NA","NA","","168","6",""
"08",30500,"65","NA","NA","","65","0",""
"08",30600,"9","NA","NA","","6","3",""
"08",30700,"0","NA","NA","","0","0",""
"08",30900,"1","NA","NA","","1","0",""
"08",40100,"7789","NA","NA","","7534","255",""
"08",40101,"0","NA","NA","","0","0",""
"08",40102,"1397","NA","NA","","1345","52",""
"08",40103,"2814","NA","NA","","2759","55",""
"08",40104,"18","NA","NA","","17","1",""
"08",40105,"493","NA","NA","","457","36",""
"08",40106,"0","NA","NA","","0","0",""
"08",40107,"0","NA","NA","","0","0",""
"08",40108,"3","NA","NA","","3","0",""
"08",40109,"0","NA","NA","","0","0",""
"08",40110,"0","NA","NA","","0","0",""
"08",40111,"0","NA","NA","","0","0",""
"08",40112,"46","NA","NA","","46","0",""
"08",40113,"1001","NA","NA","","951","50",""
"08",40114,"146","NA","NA","","144","2",""
"08",40115,"2","NA","NA","","2","0",""
"08",40116,"6","NA","NA","","6","0",""
"08",40119,"1863","NA","NA","","1804","59",""
"08",40199,"","","","","","",""
"08",40200,"0","NA","NA","","0","0",""
"08",40300,"867","NA","NA","","861","6",""
"08",40400,"234","NA","NA","","233","1",""
"08",40500,"9","NA","NA","","9","0",""
"08",40501,"0","NA","NA","","0","0",""
"08",40509,"9","NA","NA","","9","0",""
"08",40599,"","","","","","",""
"08",40600,"2884","NA","NA","","2873","11",""
"08",40700,"181","NA","NA","","180","1",""
"08",40900,"19","NA","NA","","19","0",""
"08",50100,"2673","NA","NA","","2665","8",""
"08",50200,"538","NA","NA","","535","3",""
"08",50900,"0","NA","NA","","0","0",""
"08",60100,"41","NA","NA","","40","1",""
"08",60101,"39","NA","NA","","38","1",""
"08",60102,"0","NA","NA","","0","0",""
"08",60103,"2","NA","NA","","2","0",""
"08",60104,"0","NA","NA","","0","0",""
"08",60105,"0","NA","NA","","0","0",""
"08",60106,"0","NA","NA","","0","0",""
"08",60109,"0","NA","NA","","0","0",""
"08",60199,"","","","","","",""
"08",60200,"1","NA","NA","","1","0",""
"08",60201,"0","NA","NA","","0","0",""
"08",60202,"0","NA","NA","","0","0",""
"08",60203,"0","NA","NA","","0","0",""
"08",60209,"1","NA","NA","","1","0",""
"08",60299,"","","","","","",""
"08",60300,"0","NA","NA","","0","0",""
"08",60400,"5","NA","NA","","5","0",""
"08",60900,"0","NA","NA","","0","0",""
"08",70100,"3151","NA","NA","","3124","27",""
"08",70101,"3011","NA","NA","","2993","18",""
"08",70102,"140","NA","NA","","131","9",""
"08",70103,"0","NA","NA","","0","0",""
"08",70104,"0","NA","NA","","0","0",""
"08",70109,"0","NA","NA","","0","0",""
"08",70199,"","","","","","",""
"08",70200,"0","NA","NA","","0","0",""
"08",70201,"0","NA","NA","","0","0",""
"08",70202,"0","NA","NA","","0","0",""
"08",70203,"0","NA","NA","","0","0",""
"08",70204,"0","NA","NA","","0","0",""
"08",70205,"0","NA","NA","","0","0",""
"08",70206,"0","NA","NA","","0","0",""
"08",70209,"0","NA","NA","","0","0",""
"08",70299,"","","","","","",""
"08",70300,"1","NA","NA","","1","0",""
"08",70400,"12","NA","NA","","12","0",""
"08",70500,"0","NA","NA","","0","0",""
"08",70600,"0","NA","NA","","0","0",""
"08",70900,"0","NA","NA","","0","0",""
"08",80100,"98","NA","NA","","98","0",""
"08",80101,"2","NA","NA","","2","0",""
"08",80102,"89","NA","NA","","89","0",""
"08",80103,"3","NA","NA","","3","0",""
"08",80104,"1","NA","NA","","1","0",""
"08",80105,"1","NA","NA","","1","0",""
"08",80106,"0","NA","NA","","0","0",""
"08",80107,"1","NA","NA","","1","0",""
"08",80109,"1","NA","NA","","1","0",""
"08",80199,"","","","","","",""
"08",80200,"4","NA","NA","","4","0",""
"08",80201,"0","NA","NA","","0","0",""
"08",80209,"4","NA","NA","","4","0",""
"08",80299,"","","","","","",""
"08",80300,"0","NA","NA","","0","0",""
"08",80400,"1","NA","NA","","1","0",""
"08",80900,"0","NA","NA","","0","0",""
"08",90100,"806","NA","NA","","778","28",""
"08",90200,"109","NA","NA","","109","0",""
"08",90300,"36","NA","NA","","36","0",""
"08",90400,"81","NA","NA","","81","0",""
"08",90500,"2","NA","NA","","2","0",""
"08",90501,"0","NA","NA","","0","0",""
"08",90502,"0","NA","NA","","0","0",""
"08",90503,"1","NA","NA","","1","0",""
"08",90509,"1","NA","NA","","1","0",""
"08",90599,"","","","","","",""
"08",90600,"2","NA","NA","","2","0",""
"08",90700,"0","NA","NA","","0","0",""
"08",90701,"0","NA","NA","","0","0",""
"08",90709,"0","NA","NA","","0","0",""
"08",90799,"","","","","","",""
"08",90800,"0","NA","NA","","0","0",""
"08",90900,"0","NA","NA","","0","0",""
"08",91000,"0","NA","NA","","0","0",""
"08",91100,"0","NA","NA","","0","0",""
"08",91200,"1","NA","NA","","1","0",""
"08",91300,"0","NA","NA","","0","0",""
"08",91400,"3","NA","NA","","3","0",""
"08",91500,"0","NA","NA","","0","0",""
"08",91600,"9","NA","NA","","9","0",""
"08",91900,"637","NA","NA","","621","16",""
"08",999999,"","","","","","",""
"09",10100,"1138","265","83","","763","27",""
"09",10200,"46","28","0","","18","0",""
"09",10300,"73","8","0","","65","0",""
"09",10400,"6931","883","0","","6048","0",""
"09",10900,"0","0","0","","0","0",""
"09",20100,"462","214","0","","248","0",""
"09",20200,"2","1","0","","1","0",""
"09",20300,"577","112","0","","465","0",""
"09",20400,"2","2","0","","0","0",""
"09",20500,"0","0","0","","0","0",""
"09",20600,"29","15","0","","14","0",""
"09",20601,"29","15","0","","14","0",""
"09",20602,"0","0","0","","0","0",""
"09",20603,"0","0","0","","0","0",""
"09",20604,"0","0","0","","0","0",""
"09",20609,"0","0","0","","0","0",""
"09",20699,"","","","","","",""
"09",20900,"0","0","0","","0","0",""
"09",30100,"1227","320","0","","907","0",""
"09",30200,"116","0","0","","116","0",""
"09",30300,"0","0","0","","0","0",""
"09",30400,"347","126","6","","205","10",""
"09",30500,"42","8","0","","34","0",""
"09",30600,"9","0","0","","9","0",""
"09",30700,"0","0","0","","0","0",""
"09",30900,"0","0","0","","0","0",""
"09",40100,"53946","14351","214","","39147","234",""
"09",40101,"339","0","158","","0","181",""
"09",40102,"4151","1735","0","","2416","0",""
"09",40103,"7817","3471","56","","4237","53",""
"09",40104,"2495","947","0","","1548","0",""
"09",40105,"9462","3125","0","","6337","0",""
"09",40106,"207","93","0","","114","0",""
"09",40107,"0","0","0","","0","0",""
"09",40108,"108","54","0","","54","0",""
"09",40109,"172","64","0","","108","0",""
"09",40110,"1595","498","0","","1097","0",""
"09",40111,"979","416","0","","563","0",""
"09",40112,"14","4","0","","10","0",""
"09",40113,"10042","1621","0","","8421","0",""
"09",40114,"0","0","0","","0","0",""
"09",40115,"9","6","0","","3","0",""
"09",40116,"0","0","0","","0","0",""
"09",40119,"16556","2317","0","","14239","0",""
"09",40199,"","","","","","",""
"09",40200,"0","0","0","","0","0",""
"09",40300,"7470","1070","1","","6390","9",""
"09",40400,"2075","62","0","","2013","0",""
"09",40500,"1644","194","586","","208","656",""
"09",40501,"0","0","0","","0","0",""
"09",40509,"1644","194","586","","208","656",""
"09",40599,"","","","","","",""
"09",40600,"6569","50","0","","6519","0",""
"09",40700,"2188","310","0","","1878","0",""
"09",40900,"0","0","0","","0","0",""
"09",50100,"12082","3475","0","","8607","0",""
"09",50200,"679","215","0","","464","0",""
"09",50900,"388","23","0","","365","0",""
"09",60100,"72","58","0","","14","0",""
"09",60101,"36","29","0","","7","0",""
"09",60102,"0","0","0","","0","0",""
"09",60103,"36","29","0","","7","0",""
"09",60104,"0","0","0","","0","0",""
"09",60105,"0","0","0","","0","0",""
"09",60106,"0","0","0","","0","0",""
"09",60109,"0","0","0","","0","0",""
"09",60199,"","","","","","",""
"09",60200,"29","25","0","","4","0",""
"09",60201,"0","0","0","","0","0",""
"09",60202,"0","0","0","","0","0",""
"09",60203,"0","0","0","","0","0",""
"09",60209,"29","25","0","","4","0",""
"09",60299,"","","","","","",""
