entidad,mater_ja,conclstt,concls1,concls2,concls3,concls4,concls5,concls6,concls7,concls8,concls9,no_aplic
"16",7,"NSS","0","0","NSS","0","0","0","NSS","0","0",""
"16",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"17",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"18",1,"567","119","36","0","0","0","25","387","0","0",""
"18",2,"538","110","33","0","0","0","23","372","0","0",""
"18",3,"350","69","21","0","0","0","15","245","0","0",""
"18",4,"0","0","0","0","0","0","0","0","0","0",""
"18",5,"0","0","0","0","0","0","0","0","0","0",""
"18",6,"0","0","0","0","0","0","0","0","0","0",""
"18",7,"0","0","0","0","0","0","0","0","0","0",""
"18",8,"0","0","0","0","0","0","0","0","0","0",""
"19",1,"521","NSS","NSS","NSS","NSS","NSS","NSS","521","NSS","NSS",""
"19",2,"297","NSS","NSS","NSS","NSS","NSS","NSS","297","NSS","NSS",""
"19",3,"1609","NSS","NSS","NSS","NSS","NSS","NSS","1609","NSS","NSS",""
"19",4,"1602","NSS","NSS","NSS","NSS","NSS","NSS","1125","NSS","477",""
"19",5,"36","NSS","NSS","NSS","NSS","NSS","NSS","36","NSS","NSS",""
"19",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"19",7,"0","0","0","0","0","0","0","0","0","0",""
"19",8,"135","NSS","NSS","NSS","NSS","NSS","NSS","135","NSS","NSS",""
"20",1,"375","112","25","0","0","0","179","59","0","0",""
"20",2,"199","62","2","0","0","0","104","31","0","0",""
"20",3,"731","146","11","0","0","0","336","238","0","0",""
"20",4,"273","73","19","0","0","0","79","102","0","0",""
"20",5,"25","6","0","0","0","0","12","7","0","0",""
"20",6,"0","0","0","0","0","0","0","0","0","0",""
"20",7,"0","0","0","0","0","0","0","0","0","0",""
"20",8,"54","27","2","0","0","0","14","11","0","0",""
"21",1,"468","0","0","0","0","0","0","468","0","0",""
"21",2,"43","0","0","0","0","0","0","43","0","0",""
"21",3,"1649","0","0","0","0","0","0","1649","0","0",""
"21",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"21",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"21",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
