entidad,sistn_op,eqcomptt,eqcomp1,eqcomp2,no_aplic
"29",7,"NA","NA","NA","NA"
"29",8,"NA","NA","NA","NA"
"29",9,"NA","NA","NA","NA"
"29",10,"NA","NA","NA","NA"
"29",11,"NA","NA","NA","NA"
"29",12,"NA","NA","NA","NA"
"29",13,"NA","NA","NA","NA"
"29",14,"NA","NA","NA","NA"
"29",15,"NA","NA","NA","NA"
"29",99,"NA","NA","NA","NA"
"30",1,"NA","NA","NA","1"
"30",2,"NA","NA","NA","1"
"30",3,"NA","NA","NA","1"
"30",4,"NA","NA","NA","1"
"30",5,"NA","NA","NA","1"
"30",6,"55","55","0",""
"30",7,"NA","NA","NA","1"
"30",8,"NA","NA","NA","1"
"30",9,"NA","NA","NA","1"
"30",10,"NA","NA","NA","1"
"30",11,"NA","NA","NA","1"
"30",12,"NA","NA","NA","1"
"30",13,"NA","NA","NA","1"
"30",14,"NA","NA","NA","1"
"30",15,"NA","NA","NA","1"
"30",99,"NA","NA","NA","1"
"31",1,"NA","NA","NA","NA"
"31",2,"NA","NA","NA","NA"
"31",3,"NA","NA","NA","NA"
"31",4,"NA","NA","NA","NA"
"31",5,"NA","NA","NA","NA"
"31",6,"NA","NA","NA","NA"
"31",7,"NA","NA","NA","NA"
"31",8,"NA","NA","NA","NA"
"31",9,"NA","NA","NA","NA"
"31",10,"NA","NA","NA","NA"
"31",11,"NA","NA","NA","NA"
"31",12,"NA","NA","NA","NA"
"31",13,"NA","NA","NA","NA"
"31",14,"NA","NA","NA","NA"
"31",15,"NA","NA","NA","NA"
"31",99,"NA","NA","NA","NA"
"32",1,"NA","NA","NA","NA"
"32",2,"NA","NA","NA","NA"
"32",3,"NA","NA","NA","NA"
"32",4,"NA","NA","NA","NA"
"32",5,"NA","NA","NA","NA"
"32",6,"NA","NA","NA","NA"
"32",7,"NA","NA","NA","NA"
"32",8,"NA","NA","NA","NA"
"32",9,"NA","NA","NA","NA"
"32",10,"NA","NA","NA","NA"
"32",11,"NA","NA","NA","NA"
"32",12,"NA","NA","NA","NA"
"32",13,"NA","NA","NA","NA"
"32",14,"NA","NA","NA","NA"
"32",15,"NA","NA","NA","NA"
"32",99,"NA","NA","NA","NA"
