entidad,org_mate,totalca1,no_aplic
"19",19,"9",""
"19",20,"NA","1"
"19",21,"NA","1"
"19",22,"2",""
"19",23,"NA","1"
"19",24,"NA","1"
"19",25,"NA","1"
"19",26,"NA","1"
"19",27,"23",""
"19",28,"NA","1"
"19",99,"",""
"20",1,"NA","1"
"20",2,"NA","1"
"20",3,"NA","1"
"20",4,"17",""
"20",5,"9",""
"20",6,"NA","1"
"20",7,"14",""
"20",8,"NSS",""
"20",9,"1",""
"20",10,"NA","1"
"20",11,"NA","1"
"20",12,"31",""
"20",13,"19",""
"20",14,"NA","1"
"20",15,"6",""
"20",16,"3",""
"20",17,"NSS",""
"20",18,"2",""
"20",19,"5",""
"20",20,"NA","1"
"20",21,"NA","1"
"20",22,"1",""
"20",23,"NSS",""
"20",24,"NA","1"
"20",25,"1",""
"20",26,"4",""
"20",27,"NA","1"
"20",28,"NA","1"
"20",99,"",""
"21",1,"NA","1"
"21",2,"NA","1"
"21",3,"657",""
"21",4,"13",""
"21",5,"13",""
"21",6,"12",""
"21",7,"6",""
"21",8,"5",""
"21",9,"1",""
"21",10,"7",""
"21",11,"1",""
"21",12,"16",""
"21",13,"NA","1"
"21",14,"3",""
"21",15,"NA","1"
"21",16,"NA","1"
"21",17,"3",""
"21",18,"4",""
"21",19,"3",""
"21",20,"NA","1"
"21",21,"NA","1"
"21",22,"NA","1"
"21",23,"1",""
"21",24,"NA","1"
"21",25,"NA","1"
"21",26,"NA","1"
"21",27,"NA","1"
"21",28,"NA","1"
"21",99,"",""
"22",1,"3",""
"22",2,"NA","1"
"22",3,"21",""
"22",4,"14",""
"22",5,"6",""
"22",6,"6",""
"22",7,"10",""
"22",8,"1",""
"22",9,"2",""
"22",10,"NA","1"
"22",11,"NA","1"
"22",12,"4",""
"22",13,"NA","1"
"22",14,"2",""
"22",15,"NA","1"
"22",16,"NA","1"
"22",17,"NA","1"
"22",18,"2",""
"22",19,"2",""
"22",20,"NA","1"
"22",21,"NA","1"
"22",22,"NA","1"
"22",23,"NA","1"
"22",24,"NA","1"
"22",25,"NA","1"
"22",26,"NA","1"
"22",27,"NA","1"
"22",28,"6",""
"22",99,"",""
"23",1,"NA","1"
"23",2,"NA","1"
"23",3,"NA","1"
"23",4,"7",""
"23",5,"7",""
"23",6,"5",""
"23",7,"12",""
"23",8,"6",""
"23",9,"1",""
"23",10,"1",""
"23",11,"NA","1"
"23",12,"5",""
"23",13,"NA","1"
"23",14,"1",""
"23",15,"NA","1"
"23",16,"NA","1"
"23",17,"1",""
"23",18,"2",""
"23",19,"NA","1"
"23",20,"2",""
"23",21,"2",""
"23",22,"2",""
"23",23,"NA","1"
"23",24,"1",""
"23",25,"1",""
"23",26,"NA","1"
"23",27,"NA","1"
"23",28,"24",""
"23",99,"",""
"24",1,"NA","1"
"24",2,"NA","1"
"24",3,"7",""
"24",4,"12",""
"24",5,"8",""
"24",6,"NSS",""
"24",7,"9",""
"24",8,"NA","1"
"24",9,"2",""
"24",10,"NA","1"
"24",11,"NA","1"
"24",12,"9",""
"24",13,"NSS",""
"24",14,"NA","1"
"24",15,"2",""
"24",16,"NA","1"
"24",17,"NA","1"
"24",18,"2",""
"24",19,"2",""
"24",20,"NA","1"
"24",21,"NA","1"
"24",22,"NA","1"
"24",23,"NA","1"
"24",24,"1",""
"24",25,"NA","1"
"24",26,"14",""
"24",27,"NA","1"
"24",28,"1",""
"24",99,"",""
"25",1,"81",""
"25",2,"NA","1"
"25",3,"NA","1"
"25",4,"16",""
"25",5,"12",""
"25",6,"4",""
"25",7,"8",""
"25",8,"NA","1"
"25",9,"3",""
"25",10,"NA","1"
"25",11,"NA","1"
"25",12,"14",""
"25",13,"NA","1"
"25",14,"4",""
"25",15,"NA","1"
"25",16,"NA","1"
"25",17,"NA","1"
"25",18,"1",""
"25",19,"2",""
"25",20,"NA","1"
"25",21,"NA","1"
"25",22,"NA","1"
"25",23,"NA","1"
"25",24,"1",""
"25",25,"5",""
"25",26,"NA","1"
"25",27,"NA","1"
"25",28,"3",""
"25",99,"",""
"26",1,"NA","1"
"26",2,"NA","1"
"26",3,"NA","1"
"26",4,"16",""
"26",5,"21",""
"26",6,"8",""
"26",7,"10",""
"26",8,"6",""
"26",9,"4",""
"26",10,"NA","1"
"26",11,"NA","1"
"26",12,"6",""
"26",13,"NA","1"
"26",14,"2",""
"26",15,"NA","1"
"26",16,"NA","1"
"26",17,"NA","1"
"26",18,"NA","1"
"26",19,"NA","1"
"26",20,"NA","1"
"26",21,"NA","1"
"26",22,"NA","1"
"26",23,"1",""
"26",24,"2",""
"26",25,"NA","1"
"26",26,"NA","1"
"26",27,"3",""
"26",28,"4",""
"26",99,"",""
"27",1,"NA","1"
"27",2,"NA","1"
"27",3,"21",""
"27",4,"22",""
"27",5,"19",""
"27",6,"NA","1"
"27",7,"5",""
"27",8,"1",""
"27",9,"1",""
"27",10,"NA","1"
"27",11,"NA","1"
"27",12,"5",""
"27",13,"9",""
"27",14,"NA","1"
"27",15,"NA","1"
"27",16,"2",""
"27",17,"NA","1"
"27",18,"2",""
"27",19,"4",""
"27",20,"4",""
"27",21,"4",""
"27",22,"NA","1"
"27",23,"1",""
"27",24,"NA","1"
"27",25,"NA","1"
"27",26,"13",""
"27",27,"1",""
"27",28,"1",""
"27",99,"",""
"28",1,"NA","1"
"28",2,"NA","1"
"28",3,"23",""
"28",4,"15",""
"28",5,"13",""
"28",6,"15",""
"28",7,"17",""
"28",8,"NA","1"
"28",9,"6",""
"28",10,"NA","1"
"28",11,"NA","1"
"28",12,"9",""
"28",13,"NA","1"
"28",14,"5",""
"28",15,"NA","1"
"28",16,"NA","1"
"28",17,"NA","1"
"28",18,"NA","1"
"28",19,"7",""
"28",20,"NA","1"
"28",21,"NA","1"
"28",22,"NA","1"
"28",23,"1",""
"28",24,"8",""
"28",25,"NA","1"
"28",26,"1",""
"28",27,"NA","1"
"28",28,"NA","1"
"28",99,"",""
"29",1,"NA","1"
"29",2,"NA","1"
"29",3,"NA","1"
"29",4,"5",""
"29",5,"4",""
"29",6,"2",""
"29",7,"6",""
"29",8,"1",""
"29",9,"2",""
"29",10,"NA","1"
"29",11,"1",""
"29",12,"3",""
"29",13,"NA","1"
"29",14,"NA","1"
"29",15,"1",""
"29",16,"NA","1"
"29",17,"NA","1"
"29",18,"NA","1"
"29",19,"NA","1"
"29",20,"NA","1"
"29",21,"NA","1"
"29",22,"NA","1"
"29",23,"NA","1"
"29",24,"2",""
"29",25,"1",""
"29",26,"NA","1"
"29",27,"NA","1"
"29",28,"NA","1"
"29",99,"",""
"30",1,"5",""
"30",2,"5",""
"30",3,"206",""
"30",4,"24",""
"30",5,"21",""
"30",6,"NA","1"
"30",7,"10",""
"30",8,"NA","1"
"30",9,"1",""
"30",10,"NA","1"
"30",11,"NA","1"
"30",12,"6",""
"30",13,"21",""
"30",14,"NA","1"
"30",15,"NA","1"
"30",16,"NA","1"
"30",17,"NA","1"
"30",18,"2",""
"30",19,"4",""
"30",20,"NA","1"
"30",21,"NA","1"
"30",22,"2",""
"30",23,"1",""
"30",24,"NA","1"
"30",25,"1",""
"30",26,"NA","1"
"30",27,"NA","1"
"30",28,"4",""
"30",99,"",""
"31",1,"NA","1"
"31",2,"NA","1"
"31",3,"NA","1"
"31",4,"3",""
"31",5,"5",""
"31",6,"NA","1"
"31",7,"7",""
"31",8,"4",""
"31",9,"1",""
"31",10,"NA","1"
"31",11,"NA","1"
"31",12,"9",""
"31",13,"7",""
"31",14,"3",""
"31",15,"NA","1"
"31",16,"NA","1"
"31",17,"NA","1"
"31",18,"1",""
"31",19,"NA","1"
"31",20,"1",""
"31",21,"2",""
"31",22,"NA","1"
"31",23,"1",""
"31",24,"1",""
"31",25,"NA","1"
"31",26,"2",""
"31",27,"NA","1"
"31",28,"NA","1"
"31",99,"",""
"32",1,"NA","1"
"32",2,"NA","1"
"32",3,"NA","1"
"32",4,"5",""
"32",5,"4",""
"32",6,"NA","1"
"32",7,"6",""
"32",8,"5",""
"32",9,"1",""
"32",10,"NA","1"
"32",11,"NA","1"
"32",12,"22",""
"32",13,"18",""
"32",14,"NA","1"
"32",15,"NA","1"
"32",16,"1",""
"32",17,"NA","1"
"32",18,"2",""
"32",19,"2",""
"32",20,"NA","1"
"32",21,"NA","1"
"32",22,"NA","1"
"32",23,"NA","1"
"32",24,"NA","1"
"32",25,"NA","1"
"32",26,"NA","1"
"32",27,"1",""
"32",28,"3",""
"32",99,"",""
