entidad,sent_del,stcahmtt,stcahm1,stcahm2,stcahm3,stcahm4,stcahmne,spcahmtt,spcahm1,spcahm2,spcahm3,spcahm4
"30",5,"0","0","0","0","0","","0","0","0","0","0"
"30",6,"0","0","0","0","0","","0","0","0","0","0"
"30",9,"10","","","","","10","","","","",""
"31",1,"5","5","0","0","0","","138","127","7","4","0"
"31",2,"0","0","0","0","0","","23","20","2","1","0"
"31",3,"0","0","0","0","0","","7","6","1","0","0"
"31",4,"0","0","0","0","0","","0","0","0","0","0"
"31",5,"0","0","0","0","0","","0","0","0","0","0"
"31",6,"0","0","0","0","0","","0","0","0","0","0"
"31",9,"","","","","","","6","6","","",""
"32",1,"89","73","11","5","0","","87","73","8","6","0"
"32",2,"45","30","11","4","0","","23","19","0","4","0"
"32",3,"25","19","5","0","1","","4","4","0","0","0"
"32",4,"11","8","2","1","0","","0","0","0","0","0"
"32",5,"8","7","1","0","0","","0","0","0","0","0"
"32",6,"46","32","7","6","1","","0","0","0","0","0"
"32",9,"232","154","20","","","58","","","","",""
