entidad,delselec,impeda1,impeda2,impeda3,impeda4,impeda5,impeda6,impeda7,impeda8,impeda9,impeda10,impeda11,impeda12,impeda13,impeda14,impeda15,impeda16,impeda17,impeda18,impeda19,impeda20
"18",10101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"18",10102,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"18",60200,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","1","0"
"18",60201,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"18",60202,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"18",60203,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"18",60209,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"18",60299,"","","","","","","","","","","","","","","","","","","1",""
"18",999999,"","","","","","","","","","","","","","","","","","","",""
"19",10101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"19",10102,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"19",60200,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"19",60201,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"19",60202,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"19",60203,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"19",60209,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"19",60299,"","","","","","","","","","","","","","","","","","","",""
"19",999999,"","","","","","","","","","","","","","","","","","","",""
"20",10101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"20",10102,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"20",60200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20",60201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20",60209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20",60299,"","","","","","","","","","","","","","","","","","","",""
"20",999999,"","","","","","","","","","","","","","","","","","","",""
"21",10101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"21",10102,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"21",60200,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"21",60201,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"21",60202,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"21",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21",60209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21",60299,"","","","","","","","","","","","","","","","","","","",""
"21",999999,"","","","","","","","","","","","","","","","","","","",""
"22",10101,"26","2","14","1","11","2","13","1","1","NSS","3","2","6","NSS","1","NSS","3","NSS","21","NSS"
"22",10102,"9","1","2","NSS","2","NSS","2","NSS","3","1","2","NSS","NSS","NSS","NSS","NSS","NSS","NSS","8","NSS"
"22",60200,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22",60201,"0","0","NSS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22",60202,"0","0","NSS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22",60203,"0","0","NSS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22",60209,"0","0","NSS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22",60299,"","","1","","","","","","","","","","","","","","","","",""
"22",999999,"","","","","","","","","","","","","","","","","","","",""
"23",10101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"23",10102,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"23",60200,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"23",60201,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"23",60202,"0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS"
"23",60203,"0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS"
"23",60209,"0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS"
"23",60299,"","","","","","","","","","","","","","","","","","","",""
"23",999999,"","","","","","","","","","","","","","","","","","","",""
"24",10101,"10","NSS","17","NSS","9","NSS","14","NSS","8","NSS","4","NSS","7","NSS","2","NSS","1","NSS","28","2"
"24",10102,"NSS","NSS","NSS","NSS","1","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","2","NSS"
"24",60200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24",60201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24",60209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24",60299,"","","","","","","","","","","","","","","","","","","",""
"24",999999,"","","","","","","","","","","","","","","","","","","",""
"25",10101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",10102,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",60200,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",60201,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",60202,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",60203,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",60209,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",60299,"","","","","","","","","","","","","","","","","","","",""
"25",999999,"","","","","","","","","","","","","","","","","","","",""
"26",10101,"41","1","23","2","12","0","7","0","7","2","5","0","3","0","0","0","1","0","69","3"
"26",10102,"3","0","2","1","5","0","3","1","4","0","2","0","0","0","1","0","1","0","8","1"
"26",60200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26",60201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26",60209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26",60299,"","","","","","","","","","","","","","","","","","","",""
"26",999999,"","","","","","","","","","","","","","","","","","","",""
"27",10101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","6","2"
