entidad,delisele,pedesitt,pedesi1,pedesi2,pedesi3,pedesi4,pedesi5,pedesi6,pedesi7,pedesi8,pedesi9
"21",20500,"0","0","0","0","0","0","0","0","0","0"
"21",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"21",20601,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"21",20602,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"21",20603,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"21",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"21",20609,"NSS","NSS","0","0","NSS","0","0","NSS","0","0"
"21",91400,"0","0","0","0","0","0","0","0","0","0"
"21",999999,"","","","","","","","","",""
"22",10100,"0","0","0","0","0","0","0","0","0","0"
"22",10400,"0","0","0","0","0","0","0","0","0","0"
"22",20100,"0","0","0","0","0","0","0","0","0","0"
"22",20500,"0","0","0","0","0","0","0","0","0","0"
"22",20600,"0","0","0","0","0","0","0","0","0","0"
"22",20601,"0","0","0","0","0","0","0","0","0","0"
"22",20602,"0","0","0","0","0","0","0","0","0","0"
"22",20603,"0","0","0","0","0","0","0","0","0","0"
"22",20604,"0","0","0","0","0","0","0","0","0","0"
"22",20609,"0","0","0","0","0","0","0","0","0","0"
"22",91400,"0","0","0","0","0","0","0","0","0","0"
"22",999999,"","","","","","","","","",""
"23",10100,"NSS","NSS","NSS","0","NSS","NSS","0","NSS","NSS","0"
"23",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"23",20100,"NSS","NSS","0","0","NSS","0","0","NSS","0","0"
"23",20500,"0","0","0","0","0","0","0","0","0","0"
"23",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"23",20601,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"23",20602,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"23",20603,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"23",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
