entidad,tieprisi,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"29",12,"9","6","3","","0","0",""
"29",13,"0","0","0","","0","0",""
"29",14,"0","0","0","","0","0",""
"29",15,"0","0","0","","0","0",""
"29",16,"0","0","0","","0","0",""
"29",99,"26","9","","17","","",""
"30",1,"10","4","0","","5","1",""
"30",2,"24","10","4","","9","1",""
"30",3,"21","15","1","","5","0",""
"30",4,"11","7","2","","2","0",""
"30",5,"23","17","1","","5","0",""
"30",6,"41","38","1","","1","1",""
"30",7,"14","12","0","","2","0",""
"30",8,"10","8","0","","2","0",""
"30",9,"2","2","0","","0","0",""
"30",10,"1","1","0","","0","0",""
"30",11,"4","2","1","","1","0",""
"30",12,"0","0","0","","0","0",""
"30",13,"0","0","0","","0","0",""
"30",14,"0","0","0","","0","0",""
"30",15,"0","0","0","","0","0",""
"30",16,"0","0","0","","0","0",""
"30",99,"22","10","2","10","","",""
"31",1,"3","NSS","0","","1","2",""
"31",2,"24","NSS","0","","22","2",""
"31",3,"26","NSS","0","","23","3",""
"31",4,"46","NSS","0","","45","1",""
"31",5,"18","NSS","0","","18","0",""
"31",6,"4","NSS","0","","4","0",""
"31",7,"9","NSS","0","","8","1",""
"31",8,"9","NSS","0","","9","0",""
"31",9,"5","NSS","0","","5","0",""
"31",10,"4","NSS","0","","4","0",""
"31",11,"7","NSS","0","","7","0",""
"31",12,"1","NSS","0","","1","0",""
"31",13,"NSS","NSS","0","","0","0",""
"31",14,"NSS","NSS","0","","0","0",""
"31",15,"NSS","NSS","0","","0","0",""
"31",16,"NSS","NSS","0","","0","0",""
"31",99,"18","5","","","12","1",""
"32",1,"86","65","20","","1","0",""
"32",2,"88","73","12","","3","0",""
"32",3,"52","40","5","","3","4",""
"32",4,"33","21","8","","4","0",""
"32",5,"21","8","1","","10","2",""
"32",6,"23","8","0","","15","0",""
"32",7,"68","39","4","","25","0",""
"32",8,"31","22","1","","8","0",""
"32",9,"18","10","2","","6","0",""
"32",10,"12","7","1","","4","0",""
"32",11,"51","30","3","","16","2",""
"32",12,"1","0","0","","1","0",""
"32",13,"0","0","0","","0","0",""
"32",14,"0","0","0","","0","0",""
"32",15,"0","0","0","","0","0",""
"32",16,"0","0","0","","0","0",""
"32",99,"58","","","58","","",""
