entidad,nacional,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"20",11,"NSS","NSS","NSS","NSS","NSS"
"20",12,"NSS","NSS","NSS","NSS","NSS"
"20",13,"NSS","NSS","NSS","NSS","NSS"
"20",14,"NSS","NSS","NSS","NSS","NSS"
"20",15,"NSS","NSS","NSS","NSS","NSS"
"20",16,"NSS","NSS","NSS","NSS","NSS"
"20",17,"NSS","NSS","NSS","NSS","NSS"
"20",18,"NSS","NSS","NSS","NSS","NSS"
"20",19,"NSS","NSS","NSS","NSS","NSS"
"20",20,"NSS","NSS","NSS","NSS","NSS"
"21",1,"NSS","NSS","NSS","NSS","NSS"
"21",2,"NSS","NSS","NSS","NSS","NSS"
"21",3,"NSS","NSS","NSS","NSS","NSS"
"21",4,"NSS","NSS","NSS","NSS","NSS"
"21",5,"NSS","NSS","NSS","NSS","NSS"
"21",6,"NSS","NSS","NSS","NSS","NSS"
"21",7,"NSS","NSS","NSS","NSS","NSS"
"21",8,"NSS","NSS","NSS","NSS","NSS"
"21",9,"NSS","NSS","NSS","NSS","NSS"
"21",10,"NSS","NSS","NSS","NSS","NSS"
"21",11,"NSS","NSS","NSS","NSS","NSS"
"21",12,"NSS","NSS","NSS","NSS","NSS"
"21",13,"NSS","NSS","NSS","NSS","NSS"
"21",14,"NSS","NSS","NSS","NSS","NSS"
"21",15,"NSS","NSS","NSS","NSS","NSS"
"21",16,"NSS","NSS","NSS","NSS","NSS"
"21",17,"NSS","NSS","NSS","NSS","NSS"
"21",18,"NSS","NSS","NSS","NSS","NSS"
"21",19,"NSS","NSS","NSS","NSS","NSS"
"21",20,"4176","2038","226","1746","166"
"22",1,"10728","2695","750","4368","2915"
"22",2,"4","3","0","1","NSS"
"22",3,"NSS","0","0","NSS","NSS"
"22",4,"NSS","0","0","NSS","NSS"
"22",5,"NSS","0","0","NSS","NSS"
"22",6,"NSS","0","0","NSS","NSS"
"22",7,"4","2","0","2","NSS"
"22",8,"1","0","0","NSS","1"
"22",9,"NSS","0","0","NSS","NSS"
"22",10,"2","0","0","2","NSS"
"22",11,"1","1","0","NSS","NSS"
"22",12,"NSS","0","0","NSS","NSS"
"22",13,"1","1","0","NSS","NSS"
"22",14,"NSS","0","0","NSS","NSS"
"22",15,"1","1","0","NSS","NSS"
"22",16,"3","1","1","1","NSS"
"22",17,"1","0","1","NSS","NSS"
"22",18,"NSS","0","0","NSS","NSS"
"22",19,"NSS","0","0","NSS","NSS"
"22",20,"11641","2","0","9750","1889"
"23",1,"NSS","NSS","NSS","NSS","NSS"
"23",2,"NSS","NSS","NSS","NSS","NSS"
"23",3,"NSS","NSS","NSS","NSS","NSS"
"23",4,"NSS","NSS","NSS","NSS","NSS"
"23",5,"NSS","NSS","NSS","NSS","NSS"
"23",6,"NSS","NSS","NSS","NSS","NSS"
"23",7,"NSS","NSS","NSS","NSS","NSS"
"23",8,"NSS","NSS","NSS","NSS","NSS"
"23",9,"NSS","NSS","NSS","NSS","NSS"
"23",10,"NSS","NSS","NSS","NSS","NSS"
"23",11,"NSS","NSS","NSS","NSS","NSS"
"23",12,"NSS","NSS","NSS","NSS","NSS"
"23",13,"NSS","NSS","NSS","NSS","NSS"
"23",14,"NSS","NSS","NSS","NSS","NSS"
"23",15,"NSS","NSS","NSS","NSS","NSS"
"23",16,"NSS","NSS","NSS","NSS","NSS"
"23",17,"NSS","NSS","NSS","NSS","NSS"
"23",18,"NSS","NSS","NSS","NSS","NSS"
"23",19,"NSS","NSS","NSS","NSS","NSS"
"23",20,"15506","1253","653","9748","3852"
"24",1,"NSS","NSS","NSS","NSS","NSS"
"24",2,"NSS","NSS","NSS","NSS","NSS"
"24",3,"NSS","NSS","NSS","NSS","NSS"
"24",4,"NSS","NSS","NSS","NSS","NSS"
"24",5,"NSS","NSS","NSS","NSS","NSS"
"24",6,"NSS","NSS","NSS","NSS","NSS"
"24",7,"NSS","NSS","NSS","NSS","NSS"
"24",8,"NSS","NSS","NSS","NSS","NSS"
"24",9,"NSS","NSS","NSS","NSS","NSS"
"24",10,"NSS","NSS","NSS","NSS","NSS"
"24",11,"NSS","NSS","NSS","NSS","NSS"
"24",12,"NSS","NSS","NSS","NSS","NSS"
"24",13,"NSS","NSS","NSS","NSS","NSS"
"24",14,"NSS","NSS","NSS","NSS","NSS"
"24",15,"NSS","NSS","NSS","NSS","NSS"
"24",16,"NSS","NSS","NSS","NSS","NSS"
"24",17,"NSS","NSS","NSS","NSS","NSS"
"24",18,"NSS","NSS","NSS","NSS","NSS"
"24",19,"NSS","NSS","NSS","NSS","NSS"
"24",20,"14715","2591","629","9111","2384"
"25",1,"9881","2399","611","5703","1168"
"25",2,"9","3","2","3","1"
"25",3,"1","0","0","1","0"
"25",4,"0","0","0","0","0"
"25",5,"0","0","0","0","0"
"25",6,"0","0","0","0","0"
"25",7,"0","0","0","0","0"
"25",8,"1","1","0","0","0"
"25",9,"0","0","0","0","0"
"25",10,"1","0","0","1","0"
"25",11,"1","0","0","1","0"
"25",12,"0","0","0","0","0"
"25",13,"2","0","0","1","1"
"25",14,"3","1","1","1","0"
"25",15,"4","3","0","0","1"
"25",16,"0","0","0","0","0"
"25",17,"1","1","0","0","0"
"25",18,"0","0","0","0","0"
"25",19,"0","0","0","0","0"
"25",20,"1365","1057","307","1","0"
"26",1,"40831","11602","1028","25960","2241"
"26",2,"113","69","4","33","7"
"26",3,"3","2","0","1","0"
"26",4,"0","0","0","0","0"
"26",5,"0","0","0","0","0"
"26",6,"5","4","1","0","0"
"26",7,"3","1","0","2","0"
"26",8,"0","0","0","0","0"
"26",9,"0","0","0","0","0"
"26",10,"6","4","0","2","0"
"26",11,"1","0","0","1","0"
"26",12,"0","0","0","0","0"
"26",13,"1","1","0","0","0"
"26",14,"1","0","0","1","0"
"26",15,"0","0","0","0","0"
"26",16,"6","0","0","5","1"
"26",17,"1","0","0","1","0"
"26",18,"5","3","0","1","1"
"26",19,"2","0","0","1","1"
"26",20,"494","55","8","416","15"
"27",1,"28944","3162","594","23776","1412"
"27",2,"1","1","0","0","0"
"27",3,"0","0","0","0","0"
