entidad,nacional,avinhmtt,avinhm1,avinhm2,avinhm4,avinhm5
"19",4,"0","0","0","0","0"
"19",5,"0","0","0","0","0"
"19",6,"0","0","0","0","0"
"19",7,"5","0","0","5","0"
"19",8,"0","0","0","0","0"
"19",9,"0","0","0","0","0"
"19",10,"0","0","0","0","0"
"19",11,"0","0","0","0","0"
"19",12,"0","0","0","0","0"
"19",13,"0","0","0","0","0"
"19",14,"1","0","0","1","0"
"19",15,"0","0","0","0","0"
"19",16,"0","0","0","0","0"
"19",17,"0","0","0","0","0"
"19",18,"0","0","0","0","0"
"19",19,"0","0","0","0","0"
"19",20,"0","0","0","0","0"
"20",1,"362","0","0","303","59"
"20",2,"0","0","0","0","0"
"20",3,"0","0","0","0","0"
"20",4,"0","0","0","0","0"
"20",5,"0","0","0","0","0"
"20",6,"0","0","0","0","0"
"20",7,"0","0","0","0","0"
"20",8,"0","0","0","0","0"
"20",9,"0","0","0","0","0"
"20",10,"0","0","0","0","0"
"20",11,"0","0","0","0","0"
"20",12,"0","0","0","0","0"
"20",13,"0","0","0","0","0"
"20",14,"0","0","0","0","0"
"20",15,"0","0","0","0","0"
"20",16,"0","0","0","0","0"
"20",17,"0","0","0","0","0"
"20",18,"0","0","0","0","0"
"20",19,"0","0","0","0","0"
"20",20,"0","0","0","0","0"
"21",1,"552","234","47","216","55"
"21",2,"NSS","NSS","NSS","NSS","NSS"
"21",3,"NSS","NSS","NSS","NSS","NSS"
"21",4,"NSS","NSS","NSS","NSS","NSS"
"21",5,"NSS","NSS","NSS","NSS","NSS"
"21",6,"NSS","NSS","NSS","NSS","NSS"
"21",7,"NSS","NSS","NSS","NSS","NSS"
"21",8,"NSS","NSS","NSS","NSS","NSS"
"21",9,"NSS","NSS","NSS","NSS","NSS"
"21",10,"NSS","NSS","NSS","NSS","NSS"
"21",11,"NSS","NSS","NSS","NSS","NSS"
"21",12,"NSS","NSS","NSS","NSS","NSS"
"21",13,"NSS","NSS","NSS","NSS","NSS"
"21",14,"NSS","NSS","NSS","NSS","NSS"
"21",15,"NSS","NSS","NSS","NSS","NSS"
"21",16,"NSS","NSS","NSS","NSS","NSS"
"21",17,"NSS","NSS","NSS","NSS","NSS"
"21",18,"NSS","NSS","NSS","NSS","NSS"
"21",19,"NSS","NSS","NSS","NSS","NSS"
"21",20,"60","28","9","20","3"
"22",1,"852","0","0","718","134"
"22",2,"3","0","0","0","3"
"22",3,"NSS","0","0","0","NSS"
"22",4,"NSS","0","0","0","NSS"
"22",5,"NSS","0","0","0","NSS"
"22",6,"NSS","0","0","0","NSS"
"22",7,"NSS","0","0","0","NSS"
"22",8,"NSS","0","0","0","NSS"
"22",9,"NSS","0","0","0","NSS"
"22",10,"NSS","0","0","0","NSS"
"22",11,"NSS","0","0","0","NSS"
"22",12,"NSS","0","0","0","NSS"
"22",13,"1","0","0","1","0"
"22",14,"NSS","0","0","0","NSS"
"22",15,"NSS","0","0","0","NSS"
"22",16,"1","0","0","0","1"
"22",17,"NSS","0","0","0","NSS"
"22",18,"NSS","0","0","0","NSS"
"22",19,"NSS","0","0","0","NSS"
"22",20,"2","0","0","0","2"
"23",1,"413","122","23","225","43"
"23",2,"0","0","0","0","0"
"23",3,"0","0","0","0","0"
"23",4,"0","0","0","0","0"
"23",5,"0","0","0","0","0"
"23",6,"2","0","1","0","1"
"23",7,"0","0","0","0","0"
"23",8,"0","0","0","0","0"
"23",9,"0","0","0","0","0"
"23",10,"0","0","0","0","0"
"23",11,"0","0","0","0","0"
"23",12,"0","0","0","0","0"
"23",13,"0","0","0","0","0"
"23",14,"0","0","0","0","0"
"23",15,"0","0","0","0","0"
"23",16,"0","0","0","0","0"
"23",17,"0","0","0","0","0"
"23",18,"0","0","0","0","0"
"23",19,"0","0","0","0","0"
"23",20,"0","0","0","0","0"
"24",1,"110","60","11","31","8"
"24",2,"0","0","0","0","0"
"24",3,"0","0","0","0","0"
"24",4,"0","0","0","0","0"
"24",5,"0","0","0","0","0"
"24",6,"0","0","0","0","0"
"24",7,"0","0","0","0","0"
"24",8,"0","0","0","0","0"
"24",9,"0","0","0","0","0"
"24",10,"0","0","0","0","0"
"24",11,"0","0","0","0","0"
"24",12,"0","0","0","0","0"
"24",13,"0","0","0","0","0"
"24",14,"0","0","0","0","0"
"24",15,"0","0","0","0","0"
"24",16,"0","0","0","0","0"
"24",17,"0","0","0","0","0"
"24",18,"0","0","0","0","0"
"24",19,"0","0","0","0","0"
"24",20,"0","0","0","0","0"
"25",1,"603","0","0","473","130"
"25",2,"0","0","0","0","0"
"25",3,"0","0","0","0","0"
"25",4,"0","0","0","0","0"
"25",5,"0","0","0","0","0"
"25",6,"0","0","0","0","0"
"25",7,"0","0","0","0","0"
"25",8,"0","0","0","0","0"
"25",9,"0","0","0","0","0"
"25",10,"0","0","0","0","0"
"25",11,"0","0","0","0","0"
"25",12,"0","0","0","0","0"
"25",13,"0","0","0","0","0"
"25",14,"0","0","0","0","0"
"25",15,"0","0","0","0","0"
"25",16,"0","0","0","0","0"
"25",17,"0","0","0","0","0"
"25",18,"0","0","0","0","0"
"25",19,"0","0","0","0","0"
"25",20,"0","0","0","0","0"
"26",1,"1308","846","59","352","51"
"26",2,"9","3","1","5","0"
"26",3,"0","0","0","0","0"
"26",4,"0","0","0","0","0"
"26",5,"0","0","0","0","0"
"26",6,"0","0","0","0","0"
"26",7,"0","0","0","0","0"
"26",8,"0","0","0","0","0"
"26",9,"0","0","0","0","0"
"26",10,"0","0","0","0","0"
"26",11,"0","0","0","0","0"
"26",12,"0","0","0","0","0"
"26",13,"0","0","0","0","0"
"26",14,"0","0","0","0","0"
"26",15,"0","0","0","0","0"
"26",16,"0","0","0","0","0"
"26",17,"0","0","0","0","0"
"26",18,"0","0","0","0","0"
"26",19,"0","0","0","0","0"
"26",20,"4","0","0","4","0"
"27",1,"412","0","0","388","24"
"27",2,"NSS","0","0","NSS","NSS"
"27",3,"NSS","0","0","NSS","NSS"
"27",4,"NSS","0","0","NSS","NSS"
"27",5,"NSS","0","0","NSS","NSS"
"27",6,"NSS","0","0","NSS","NSS"
"27",7,"1","0","0","1","NSS"
"27",8,"NSS","0","0","NSS","NSS"
"27",9,"NSS","0","0","NSS","NSS"
"27",10,"NSS","0","0","NSS","NSS"
"27",11,"NSS","0","0","NSS","NSS"
"27",12,"NSS","0","0","NSS","NSS"
"27",13,"NSS","0","0","NSS","NSS"
"27",14,"NSS","0","0","NSS","NSS"
"27",15,"NSS","0","0","NSS","NSS"
"27",16,"NSS","0","0","NSS","NSS"
"27",17,"NSS","0","0","NSS","NSS"
"27",18,"NSS","0","0","NSS","NSS"
"27",19,"NSS","0","0","NSS","NSS"
"27",20,"141","0","0","125","16"
"28",1,"1168","770","51","251","96"
"28",2,"10","1","0","1","8"
"28",3,"0","0","0","0","0"
"28",4,"0","0","0","0","0"
"28",5,"0","0","0","0","0"
"28",6,"0","0","0","0","0"
"28",7,"0","0","0","0","0"
"28",8,"0","0","0","0","0"
"28",9,"0","0","0","0","0"
"28",10,"0","0","0","0","0"
"28",11,"0","0","0","0","0"
"28",12,"0","0","0","0","0"
"28",13,"0","0","0","0","0"
"28",14,"0","0","0","0","0"
"28",15,"0","0","0","0","0"
"28",16,"0","0","0","0","0"
"28",17,"0","0","0","0","0"
"28",18,"0","0","0","0","0"
"28",19,"0","0","0","0","0"
"28",20,"46","0","0","26","20"
"29",1,"NSS","NSS","NSS","NSS","0"
"29",2,"NSS","NSS","NSS","NSS","0"
"29",3,"NSS","NSS","NSS","NSS","0"
"29",4,"NSS","NSS","NSS","NSS","0"
"29",5,"NSS","NSS","NSS","NSS","0"
"29",6,"NSS","NSS","NSS","NSS","0"
"29",7,"NSS","NSS","NSS","NSS","0"
"29",8,"NSS","NSS","NSS","NSS","0"
"29",9,"NSS","NSS","NSS","NSS","0"
"29",10,"NSS","NSS","NSS","NSS","0"
"29",11,"NSS","NSS","NSS","NSS","0"
"29",12,"NSS","NSS","NSS","NSS","0"
"29",13,"NSS","NSS","NSS","NSS","0"
"29",14,"NSS","NSS","NSS","NSS","0"
"29",15,"NSS","NSS","NSS","NSS","0"
"29",16,"NSS","NSS","NSS","NSS","0"
"29",17,"NSS","NSS","NSS","NSS","0"
"29",18,"NSS","NSS","NSS","NSS","0"
"29",19,"NSS","NSS","NSS","NSS","0"
"29",20,"59","34","10","15","0"
"30",1,"134","2","1","109","22"
"30",2,"NSS","0","0","NSS","NSS"
"30",3,"NSS","0","0","NSS","NSS"
"30",4,"NSS","0","0","NSS","NSS"
"30",5,"NSS","0","0","NSS","NSS"
"30",6,"NSS","0","0","NSS","NSS"
"30",7,"NSS","0","0","NSS","NSS"
"30",8,"NSS","0","0","NSS","NSS"
"30",9,"NSS","0","0","NSS","NSS"
"30",10,"NSS","0","0","NSS","NSS"
"30",11,"NSS","0","0","NSS","NSS"
"30",12,"NSS","0","0","NSS","NSS"
"30",13,"NSS","0","0","NSS","NSS"
"30",14,"NSS","0","0","NSS","NSS"
"30",15,"NSS","0","0","NSS","NSS"
"30",16,"NSS","0","0","NSS","NSS"
"30",17,"NSS","0","0","NSS","NSS"
"30",18,"NSS","0","0","NSS","NSS"
"30",19,"NSS","0","0","NSS","NSS"
"30",20,"4","0","0","3","1"
"31",1,"727","0","0","608","119"
"31",2,"0","0","0","0","0"
"31",3,"0","0","0","0","0"
"31",4,"0","0","0","0","0"
"31",5,"0","0","0","0","0"
"31",6,"0","0","0","0","0"
"31",7,"0","0","0","0","0"
"31",8,"0","0","0","0","0"
"31",9,"0","0","0","0","0"
"31",10,"0","0","0","0","0"
"31",11,"0","0","0","0","0"
"31",12,"0","0","0","0","0"
"31",13,"0","0","0","0","0"
"31",14,"0","0","0","0","0"
"31",15,"0","0","0","0","0"
"31",16,"0","0","0","0","0"
"31",17,"0","0","0","0","0"
"31",18,"0","0","0","0","0"
"31",19,"0","0","0","0","0"
"31",20,"0","0","0","0","0"
"32",1,"374","0","0","322","52"
"32",2,"0","0","0","0","0"
"32",3,"0","0","0","0","0"
"32",4,"0","0","0","0","0"
"32",5,"0","0","0","0","0"
"32",6,"0","0","0","0","0"
"32",7,"0","0","0","0","0"
"32",8,"0","0","0","0","0"
"32",9,"0","0","0","0","0"
"32",10,"0","0","0","0","0"
"32",11,"0","0","0","0","0"
"32",12,"0","0","0","0","0"
"32",13,"0","0","0","0","0"
"32",14,"0","0","0","0","0"
"32",15,"0","0","0","0","0"
"32",16,"0","0","0","0","0"
"32",17,"0","0","0","0","0"
"32",18,"0","0","0","0","0"
"32",19,"0","0","0","0","0"
"32",20,"0","0","0","0","0"
