entidad,ocupacio,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"31",7,"NSS","NA","NA","NSS","NSS"
"31",8,"NSS","NA","NA","NSS","NSS"
"31",9,"NSS","NA","NA","NSS","NSS"
"31",10,"NSS","NA","NA","NSS","NSS"
"31",11,"21917","NA","NA","21166","751"
"32",1,"323","41","3","238","41"
"32",2,"322","25","5","228","64"
"32",3,"15","2","0","7","6"
"32",4,"1652","58","7","1343","244"
"32",5,"20","0","0","17","3"
"32",6,"844","96","1","734","13"
"32",7,"55","6","0","42","7"
"32",8,"124","3","0","120","1"
"32",9,"516","19","0","486","11"
"32",10,"371","11","2","316","42"
"32",11,"3258","50","39","2330","839"
