entidad,proc_con,seonidtt,seonid1,seonid2,seonid3,seonid4,seonid5,seonid6
"24",9,"1","","","1","","",""
"25",1,"NSS","0","0","0","NSS","NSS","NSS"
"25",2,"NSS","0","0","0","NSS","NSS","NSS"
"25",3,"NSS","0","0","0","NSS","NSS","NSS"
"25",4,"NSS","0","0","0","NSS","NSS","NSS"
"25",5,"NSS","0","0","0","NSS","NSS","NSS"
"25",6,"NSS","0","0","0","NSS","NSS","NSS"
"25",9,"","","","","","",""
"26",1,"395","362","33","0","0","0","0"
"26",2,"23","22","1","0","0","0","0"
"26",3,"1","1","0","0","0","0","0"
"26",4,"0","0","0","0","0","0","0"
"26",5,"0","0","0","0","0","0","0"
"26",6,"0","0","0","0","0","0","0"
"26",9,"","","","","","",""
"27",1,"49","0","0","0","47","2","0"
"27",2,"3","0","0","0","2","1","0"
"27",3,"0","0","0","0","0","0","0"
"27",4,"0","0","0","0","0","0","0"
"27",5,"0","0","0","0","0","0","0"
"27",6,"0","0","0","0","0","0","0"
"27",9,"","","","","","",""
"28",1,"247","210","37","0","0","0","0"
"28",2,"80","72","8","0","0","0","0"
"28",3,"16","14","2","0","0","0","0"
"28",4,"11","11","0","0","0","0","0"
"28",5,"3","2","1","0","0","0","0"
"28",6,"5","5","0","0","0","0","0"
"28",9,"","","","","","",""
"29",1,"53","41","12","0","0","0","0"
"29",2,"2","1","1","0","0","0","0"
"29",3,"0","0","0","0","0","0","0"
"29",4,"0","0","0","0","0","0","0"
"29",5,"0","0","0","0","0","0","0"
"29",6,"0","0","0","0","0","0","0"
"29",9,"","","","","","",""
"30",1,"76","0","0","0","71","5","0"
"30",2,"14","0","0","0","14","0","0"
"30",3,"1","0","0","0","1","0","0"
"30",4,"0","0","0","0","0","0","0"
"30",5,"0","0","0","0","0","0","0"
"30",6,"0","0","0","0","0","0","0"
"30",9,"","","","","","",""
"31",1,"63","0","0","0","61","2","0"
"31",2,"18","0","0","0","18","0","0"
"31",3,"9","0","0","0","9","0","0"
"31",4,"10","0","0","0","10","0","0"
"31",5,"0","0","0","0","0","0","0"
"31",6,"0","0","0","0","0","0","0"
"31",9,"","","","","","",""
"32",1,"102","0","0","0","100","2","0"
"32",2,"19","0","0","0","16","3","0"
"32",3,"10","0","0","0","8","2","0"
"32",4,"0","0","0","0","0","0","0"
"32",5,"0","0","0","0","0","0","0"
"32",6,"0","0","0","0","0","0","0"
"32",9,"","","","","","",""
