entidad,delselec,edadse1,edadse2,edadse3,edadse4,edadse5,edadse6,edadse7,edadse8,edadse9,edadse10,edadse11,edadse12,edadse13,edadse14,edadse15,edadse16,edadse17,edadse18,edadse19,edadse20,edadse21,edadse22,edadse23,edadse24,edadse25,edadse26,edadse27,edadse28
"09",60209,"0","0","0","0","0","6","7","25","12","161","2","153","3","190","0","65","0","63","0","64","0","32","12","9","0","1","12","392"
"09",60299,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"09",999999,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10",10101,"0","NSS","0","NSS","0","NSS","0","NSS","NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0","NSS","NSS","NSS","0","NSS","0","NSS","NSS","NSS","NSS","NSS"
"10",10102,"0","NSS","0","NSS","0","NSS","0","NSS","NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","0","NSS","NSS","NSS","0","NSS","0","NSS","NSS","NSS","NSS","NSS"
"10",60200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",60299,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10",999999,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12",10101,"NSS","0","0","0","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"12",10102,"NSS","0","0","0","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"12",60200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",60201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",60209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",60299,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12",999999,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13",10101,"0","0","1","0","0","0","2","0","5","1","4","2","7","1","4","1","6","0","2","0","2","0","1","1","7","0","47","3"
"13",10102,"0","0","1","1","0","0","3","0","0","2","1","1","1","3","3","4","7","3","0","3","3","3","0","0","3","5","25","10"
"13",60200,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13",60201,"0","0","0","0","0","0","0","NSS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13",60202,"0","0","0","0","0","0","0","NSS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13",60203,"0","0","0","0","0","0","0","NSS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13",60209,"0","0","0","0","0","0","0","NSS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13",60299,"","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"13",999999,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
