entidad,delitos,cecccd1,cecccd2,cecccd3,cecccd4,cecccd5,cecccd6,cecccd7,cecccd8,cecccd9,cecccd10,cecccd11,cecccd12,cecccd13,cecccd14,cecccd15,cecccd16,cecccd17,cecccd18,cecccd19,cecccd20,cecccd21,cecccd22,cecccd23,cecccd24,cecccd25,cecccd26,cecccd27,cecccd28,cecccd29,cecccd30,cecccd31,cecccd32,cecccd33,cecccd34,cecccd35,cecccd36,cecccd37,cecccd38,cecccd39,cecccd40,cecccd41,cecccd42,cecccd43,cecccd44,cecccd45,cecccd46,cecccd47,cecccd48,cecccd49,cecccd50,cecccd51,cecccd52,cecccd53,cecccd54,cecccd55,cecccd56,cecccd57,cecccd58
"31",60900,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"31",70100,"13","0","68","1","10","","8","1","8","0","75","","88","1","1","0","NSS","0","2","","83","1","NSS","0","8","","1","1","16","0","74","","41","1","2","0","11","0","NSS","0","NSS","0","37","","NSS","0","NSS","0","NSS","0","2","0","69","1","NSS","0","20",""
"31",70101,"2","0","24","1","2","","2","1","1","0","25","","25","1","1","0","NSS","0","2","","27","1","NSS","0","1","","1","1","8","0","19","","20","1","1","0","1","0","NSS","0","NSS","0","6","","NSS","0","NSS","0","NSS","0","NSS","0","22","1","NSS","0","6",""
"31",70102,"2","0","21","0","6","","5","0","NSS","0","24","","29","0","0","0","0","0","","","24","0","NSS","0","5","","NSS","0","4","0","25","","7","0","1","0","5","0","NSS","0","NSS","0","16","","NSS","0","NSS","0","NSS","0","NSS","0","19","0","NSS","0","10",""
"31",70103,"1","0","7","0","","","1","0","1","0","6","","8","0","0","0","0","0","","","8","0","0","0","","","NSS","0","1","0","7","","5","0","0","0","3","0","0","0","0","0","","","NSS","0","NSS","0","NSS","0","NSS","0","7","0","NSS","0","1",""
"31",70104,"NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","",""
"31",70109,"0","0","3","0","","","NSS","0","NSS","0","3","","3","0","0","0","0","0","","","2","0","NSS","0","1","","NSS","0","NSS","0","3","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","3","","0","0","0","0","0","0","2","0","1","0","0","0","",""
"31",70199,"8","","13","","2","","","","6","","17","","23","","","","","","","","22","","","","1","","","","3","","20","","9","","","","2","","","","","","12","","","","","","","","","","20","","","","3",""
"31",70200,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"31",70201,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
