entidad,vict_del,stpvnitt,stpvni1,stpvni2,stpvni3,stpvni4,stpvni5,stpvni6,stpvni7,stpvni8,stpvni9,stpvni10,stpvni11,stpvni12,stpvni13,stpvni14,stpvni15,stpvni16,stpvni17,stpvni18
"20",1,"988","410","422","10","33","105","0","0","0","8","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"20",2,"82","27","46","3","3","2","0","0","0","1","0","0","0","0","0","0","0","0","0"
"20",3,"5","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20",9,"","","","","","","","","","","","","","","","","","",""
"21",1,"4620","517","492","158","243","237","50","0","0","56","776","1741","124","79","128","1","0","0","18"
"21",2,"533","72","60","21","5","12","2","0","0","0","134","178","22","8","9","1","0","0","9"
"21",3,"95","18","11","1","1","0","1","0","0","2","31","19","3","2","5","0","0","0","1"
"21",4,"11","3","2","0","0","1","0","0","0","0","3","1","1","0","0","0","0","0","0"
"21",5,"10","0","0","0","0","0","0","0","0","0","6","0","4","0","0","0","0","0","0"
"21",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21",9,"44","","1","","","","","","","31","10","2","","","","","","",""
"22",1,"1351","237","171","30","86","27","15","0","0","2","323","192","25","57","154","22","0","0","10"
"22",2,"46","13","10","1","2","NSS","NSS","0","0","NSS","7","8","0","3","2","NSS","0","0","0"
"22",3,"1","0","0","0","0","NSS","NSS","0","0","NSS","1","0","0","0","0","NSS","0","0","0"
"22",4,"1","0","0","0","0","NSS","NSS","0","0","NSS","0","1","0","0","0","NSS","0","0","0"
"22",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22",9,"249","111","70","","44","13","4","","","1","3","2","","","","1","","",""
"23",1,"1152","201","179","60","64","54","2","0","0","6","201","190","37","38","112","3","0","0","5"
"23",2,"106","23","18","12","1","0","1","0","0","NSS","30","19","1","1","0","0","0","0","NSS"
"23",3,"9","0","0","0","0","0","0","0","0","NSS","4","4","1","0","0","0","0","0","NSS"
