entidad,mater_ja,mecalttt,mecalt1,mecalt2,mecalt3,mecalt4,mecalt5
"31",2,"NSS","NSS","0","0","0","0"
"31",3,"NSS","NSS","0","0","0","0"
"31",4,"143","143","0","0","0","0"
"31",5,"21","21","0","0","0","0"
"31",6,"NA","NA","NA","NA","NA","NA"
"31",7,"2560","2560","0","0","0","0"
"31",8,"NA","NA","NA","NA","NA","NA"
"31",9,"","","","","",""
"32",1,"924","924","0","0","0","0"
"32",2,"273","273","0","0","0","0"
"32",3,"1678","1678","0","0","0","0"
"32",4,"NA","NA","NA","NA","NA","NA"
"32",5,"NA","NA","NA","NA","NA","NA"
"32",6,"NA","NA","NA","NA","NA","NA"
"32",7,"0","0","0","0","0","0"
"32",8,"NA","NA","NA","NA","NA","NA"
"32",9,"","","","","",""
