entidad,tipomate,sexodptt,sexodp1,sexodp2,sexodpna,sexoajtt,sexoaj1,sexoaj2,sexoajna
"31",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"31",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"31",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"31",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"31",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"31",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"31",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"31",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"31",99,"","","","","","","",""
"32",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"32",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"32",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"32",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"32",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"32",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"32",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"32",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"32",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"32",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"32",99,"","","","","","","",""
