entidad,tipomult,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"13",5,"22","17","4","","1","0",""
"13",6,"11","8","1","","2","0",""
"13",7,"4","4","0","","0","0",""
"13",8,"1","1","0","","0","0",""
"13",9,"1","1","0","","0","0",""
"13",10,"1","1","0","","0","0",""
"13",11,"12","9","2","","1","0",""
"13",99,"78","70","7","1","","",""
"14",1,"780","743","36","","1","0",""
"14",2,"34","31","2","","1","0",""
"14",3,"17","12","2","","3","0",""
"14",4,"2","2","0","","0","0",""
"14",5,"2","2","0","","0","0",""
"14",6,"1","1","0","","0","0",""
"14",7,"5","3","2","","0","0",""
"14",8,"5","4","1","","0","0",""
"14",9,"0","0","0","","0","0",""
"14",10,"1","0","0","","1","0",""
"14",11,"18","16","2","","0","0",""
"14",99,"591","435","39","99","18","",""
"15",1,"485","NSS","NSS","","452","33",""
"15",2,"91","NSS","NSS","","85","6",""
"15",3,"41","NSS","NSS","","39","2",""
"15",4,"16","NSS","NSS","","15","1",""
"15",5,"15","NSS","NSS","","15","0",""
"15",6,"6","NSS","NSS","","6","0",""
"15",7,"1","NSS","NSS","","1","0",""
"15",8,"3","NSS","NSS","","3","0",""
"15",9,"17","NSS","NSS","","17","0",""
"15",10,"6","NSS","NSS","","5","1",""
"15",11,"163","NSS","NSS","","145","18",""
"15",99,"1126","151","18","119","753","78","7"
"16",1,"206","190","16","","NSS","NSS",""
"16",2,"37","33","4","","NSS","NSS",""
"16",3,"5","5","NSS","","NSS","NSS",""
"16",4,"4","3","1","","NSS","NSS",""
"16",5,"NSS","NSS","NSS","","NSS","NSS",""
"16",6,"3","3","NSS","","NSS","NSS",""
"16",7,"1","1","NSS","","NSS","NSS",""
"16",8,"NSS","NSS","NSS","","NSS","NSS",""
"16",9,"NSS","NSS","NSS","","NSS","NSS",""
"16",10,"NSS","NSS","NSS","","NSS","NSS",""
"16",11,"7","6","1","","NSS","NSS",""
"16",99,"134","83","5","","43","3",""
"17",1,"27","0","0","","24","3",""
"17",2,"13","0","0","","13","0",""
"17",3,"8","0","0","","6","2",""
"17",4,"0","0","0","","0","0",""
"17",5,"4","0","0","","4","0",""
"17",6,"3","0","0","","2","1",""
"17",7,"4","0","0","","3","1",""
"17",8,"0","0","0","","0","0",""
"17",9,"12","0","0","","9","3",""
"17",10,"3","0","0","","3","0",""
"17",11,"41","0","0","","37","4",""
"17",99,"48","","","","39","3","6"
"18",1,"302","88","4","","200","10",""
"18",2,"59","14","1","","37","7",""
"18",3,"23","5","0","","16","2",""
"18",4,"2","0","0","","2","0",""
"18",5,"1","0","0","","1","0",""
"18",6,"3","0","0","","3","0",""
"18",7,"0","0","0","","0","0",""
"18",8,"0","0","0","","0","0",""
"18",9,"0","0","0","","0","0",""
"18",10,"0","0","0","","0","0",""
"18",11,"1","1","0","","0","0",""
