entidad,org_mate,sexostt,sexos1,sexos2,no_aplic
"23",15,"NA","NA","NA","1"
"23",16,"NA","NA","NA","1"
"23",17,"3","0","3",""
"23",18,"29","12","17",""
"23",19,"NA","NA","NA","1"
"23",20,"36","12","24",""
"23",21,"12","8","4",""
"23",22,"28","7","21",""
"23",23,"NA","NA","NA","1"
"23",24,"11","6","5",""
"23",25,"11","4","7",""
"23",26,"NA","NA","NA","1"
"23",27,"NA","NA","NA","1"
"23",28,"349","112","237",""
"23",99,"","","",""
"24",1,"NA","NA","NA","1"
"24",2,"NA","NA","NA","1"
"24",3,"46","20","26",""
"24",4,"223","69","154",""
"24",5,"192","56","136",""
"24",6,"NSS","NSS","NSS",""
"24",7,"189","57","132",""
"24",8,"NA","NA","NA","1"
"24",9,"16","7","9",""
"24",10,"NA","NA","NA","1"
"24",11,"NA","NA","NA","1"
"24",12,"131","46","85",""
"24",13,"NSS","NSS","NSS",""
"24",14,"NA","NA","NA","1"
"24",15,"23","11","12",""
"24",16,"NA","NA","NA","1"
"24",17,"NA","NA","NA","1"
"24",18,"99","21","78",""
"24",19,"99","23","76",""
"24",20,"NA","NA","NA","1"
"24",21,"NA","NA","NA","1"
"24",22,"NA","NA","NA","1"
"24",23,"NA","NA","NA","1"
"24",24,"55","14","41",""
"24",25,"NA","NA","NA","1"
"24",26,"85","53","32",""
"24",27,"NA","NA","NA","1"
"24",28,"82","32","50",""
"24",99,"","","",""
"25",1,"109","61","48",""
"25",2,"NA","NA","NA","1"
"25",3,"NA","NA","NA","1"
"25",4,"229","69","160",""
"25",5,"209","68","141",""
"25",6,"124","47","77",""
"25",7,"166","41","125",""
"25",8,"NA","NA","NA","1"
"25",9,"25","11","14",""
"25",10,"NA","NA","NA","1"
"25",11,"NA","NA","NA","1"
"25",12,"141","50","91",""
"25",13,"NA","NA","NA","1"
"25",14,"25","8","17",""
"25",15,"NA","NA","NA","1"
"25",16,"NA","NA","NA","1"
"25",17,"NA","NA","NA","1"
"25",18,"36","6","30",""
"25",19,"65","17","48",""
"25",20,"NA","NA","NA","1"
"25",21,"NA","NA","NA","1"
"25",22,"NA","NA","NA","1"
"25",23,"NA","NA","NA","1"
"25",24,"13","5","8",""
"25",25,"59","23","36",""
"25",26,"NA","NA","NA","1"
"25",27,"NA","NA","NA","1"
"25",28,"63","30","33",""
"25",99,"","","",""
"26",1,"NA","NA","NA","1"
"26",2,"NA","NA","NA","1"
"26",3,"NA","NA","NA","1"
"26",4,"238","67","171",""
"26",5,"347","142","205",""
"26",6,"170","89","81",""
"26",7,"150","30","120",""
"26",8,"63","18","45",""
"26",9,"38","19","19",""
"26",10,"NA","NA","NA","1"
"26",11,"NA","NA","NA","1"
"26",12,"67","21","46",""
"26",13,"NA","NA","NA","1"
"26",14,"15","7","8",""
"26",15,"NA","NA","NA","1"
"26",16,"NA","NA","NA","1"
"26",17,"NA","NA","NA","1"
"26",18,"NA","NA","NA","1"
"26",19,"NA","NA","NA","1"
"26",20,"NA","NA","NA","1"
"26",21,"NA","NA","NA","1"
"26",22,"NA","NA","NA","1"
"26",23,"12","5","7",""
"26",24,"67","19","48",""
"26",25,"NA","NA","NA","1"
"26",26,"NA","NA","NA","1"
"26",27,"24","14","10",""
"26",28,"289","88","201",""
"26",99,"","","",""
"27",1,"NA","NA","NA","1"
"27",2,"NA","NA","NA","1"
"27",3,"192","51","141",""
"27",4,"306","84","222",""
"27",5,"291","78","213",""
"27",6,"NA","NA","NA","1"
"27",7,"97","24","73",""
"27",8,"9","4","5",""
"27",9,"0","0","0",""
"27",10,"NA","NA","NA","1"
"27",11,"NA","NA","NA","1"
"27",12,"60","20","40",""
"27",13,"38","15","23",""
"27",14,"NA","NA","NA","1"
"27",15,"NA","NA","NA","1"
"27",16,"43","16","27",""
"27",17,"NA","NA","NA","1"
"27",18,"58","9","49",""
"27",19,"116","22","94",""
"27",20,"0","0","0",""
"27",21,"0","0","0",""
"27",22,"NA","NA","NA","1"
"27",23,"13","5","8",""
"27",24,"NA","NA","NA","1"
"27",25,"NA","NA","NA","1"
"27",26,"0","0","0",""
"27",27,"0","0","0",""
"27",28,"47","11","36",""
"27",99,"","","",""
"28",1,"NA","NA","NA","1"
"28",2,"NA","NA","NA","1"
"28",3,"86","34","52",""
"28",4,"147","54","93",""
"28",5,"110","54","56",""
"28",6,"120","66","54",""
"28",7,"184","57","127",""
"28",8,"NA","NA","NA","1"
"28",9,"38","12","26",""
"28",10,"NA","NA","NA","1"
"28",11,"NA","NA","NA","1"
"28",12,"64","21","43",""
"28",13,"NA","NA","NA","1"
"28",14,"35","15","20",""
"28",15,"NA","NA","NA","1"
"28",16,"NA","NA","NA","1"
"28",17,"NA","NA","NA","1"
"28",18,"NA","NA","NA","1"
"28",19,"77","21","56",""
"28",20,"NA","NA","NA","1"
"28",21,"NA","NA","NA","1"
"28",22,"NA","NA","NA","1"
"28",23,"12","5","7",""
"28",24,"89","29","60",""
"28",25,"NA","NA","NA","1"
"28",26,"1","1","0",""
"28",27,"NA","NA","NA","1"
"28",28,"NA","NA","NA","1"
"28",99,"","","",""
"29",1,"NA","NA","NA","1"
"29",2,"NA","NA","NA","1"
"29",3,"NA","NA","NA","1"
"29",4,"85","24","61",""
"29",5,"64","26","38",""
"29",6,"29","17","12",""
"29",7,"87","24","63",""
"29",8,"12","5","7",""
"29",9,"11","4","7",""
"29",10,"NA","NA","NA","1"
"29",11,"26","7","19",""
"29",12,"43","10","33",""
"29",13,"NA","NA","NA","1"
"29",14,"NA","NA","NA","1"
"29",15,"6","1","5",""
"29",16,"NA","NA","NA","1"
"29",17,"NA","NA","NA","1"
"29",18,"NA","NA","NA","1"
"29",19,"NA","NA","NA","1"
"29",20,"NA","NA","NA","1"
"29",21,"NA","NA","NA","1"
"29",22,"NA","NA","NA","1"
"29",23,"NA","NA","NA","1"
"29",24,"71","16","55",""
"29",25,"27","10","17",""
"29",26,"NA","NA","NA","1"
"29",27,"NA","NA","NA","1"
"29",28,"NA","NA","NA","1"
"29",99,"","","",""
"30",1,"85","30","55",""
"30",2,"69","19","50",""
"30",3,"480","207","273",""
"30",4,"373","139","234",""
"30",5,"306","106","200",""
"30",6,"NA","NA","NA","1"
"30",7,"123","44","79",""
"30",8,"NA","NA","NA","1"
"30",9,"19","7","12",""
"30",10,"NA","NA","NA","1"
"30",11,"NA","NA","NA","1"
"30",12,"64","30","34",""
"30",13,"86","49","37",""
"30",14,"NA","NA","NA","1"
"30",15,"NA","NA","NA","1"
"30",16,"NA","NA","NA","1"
"30",17,"NA","NA","NA","1"
"30",18,"135","53","82",""
"30",19,"145","38","107",""
"30",20,"NA","NA","NA","1"
"30",21,"NA","NA","NA","1"
"30",22,"73","45","28",""
"30",23,"14","3","11",""
"30",24,"NA","NA","NA","1"
"30",25,"79","39","40",""
"30",26,"NA","NA","NA","1"
"30",27,"NA","NA","NA","1"
"30",28,"0","0","0",""
"30",99,"","","",""
"31",1,"NA","NA","NA","1"
