entidad,vic_deli,vicfuett,vicfue1,vicfue2,vicfue3,vicfue4,vicfue5,vicfue6,vicfue7,vicfue8,vicfue9,vicfue10,vicfue11,vicfue12,vicfue13,vicfue14,vicfue15,vicfue16,vicfue17,vicfue18,vicfuene
"20",9,"","","","","","","","","","","","","","","","","","","",""
"21",1,"51536","12692","9440","193","NSS","392","NSS","NSS","NSS","680","16468","10584","81","NSS","261","NSS","NSS","NSS","745",""
"21",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"21",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"21",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"21",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"21",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"21",9,"","","","","","","","","","","","","","","","","","","",""
"22",1,"54230","6679","4752","1952","2377","15","100","0","6","0","19733","12448","567","5215","113","252","0","21","0",""
"22",2,"2264","407","303","84","75","11","5","0","0","0","777","471","14","98","13","5","0","1","0",""
"22",3,"248","47","36","5","8","8","1","0","2","0","69","55","2","14","1","0","0","0","0",""
"22",4,"62","16","6","3","3","2","0","0","1","0","13","12","0","5","1","0","0","0","0",""
"22",5,"6","0","1","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0",""
"22",6,"2","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",""
"22",9,"","","","","","","","","","","","","","","","","","","",""
"23",1,"18421","908","957","NSS","NSS","NSS","NSS","NSS","NSS","156","7416","5880","0","1501","1122","481","0","0","0",""
"23",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"23",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"23",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"23",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"23",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"23",9,"","","","","","","","","","","","","","","","","","","",""
"24",1,"28503","1935","1963","899","0","181","NSS","NSS","50","0","7986","7975","7419","0","95","0","0","0","0",""
"24",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"24",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"24",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"24",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"24",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"24",9,"","","","","","","","","","","","","","","","","","","",""
"25",1,"22902","3566","2391","219","1136","149","0","224","0","10","7706","4933","367","1832","296","6","66","0","1",""
"25",2,"1455","182","162","2","54","0","0","23","0","0","406","523","9","65","14","2","13","0","0",""
"25",3,"107","20","12","0","8","0","0","4","0","0","20","35","0","7","0","0","1","0","0",""
"25",4,"15","3","2","0","3","0","0","0","0","0","3","4","0","0","0","0","0","0","0",""
"25",5,"10","3","3","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0",""
"25",6,"12","1","2","0","0","0","0","0","0","0","1","8","0","0","0","0","0","0","0",""
"25",9,"","","","","","","","","","","","","","","","","","","",""
"26",1,"46426","5331","6181","2594","2247","NSS","NSS","NSS","NSS","402","16695","12125","7","844","0","0","0","0","0",""
"26",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"26",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"26",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"26",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"26",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"26",9,"","","","","","","","","","","","","","","","","","","",""
"27",1,"104158","11230","6233","1265","43","497","42","NSS","2","0","52823","29503","2339","0","98","5","NSS","78","0",""
"27",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"27",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"27",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"27",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"27",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"27",9,"","","","","","","","","","","","","","","","","","","",""
"28",1,"51273","6932","4188","55","355","731","72","76","NSS","419","16284","18194","728","243","78","75","133","NSS","2710",""
"28",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"28",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"28",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"28",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"28",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"28",9,"","","","","","","","","","","","","","","","","","","",""
"29",1,"6550","1583","801","284","471","0","0","0","0","0","1555","759","567","528","2","0","0","0","0",""
"29",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"29",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"29",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"29",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"29",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"29",9,"","","","","","","","","","","","","","","","","","","",""
"30",1,"56730","4584","3275","0","579","0","0","0","0","476","24535","17515","0","2510","0","0","0","0","3256",""
"30",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"30",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"30",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"30",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"30",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"30",9,"","","","","","","","","","","","","","","","","","","",""
"31",1,"34344","NA","NA","NA","NA","NA","NA","NA","NA","NA","21736","12608","0","NSS","NSS","NSS","0","0","0",""
"31",2,"NSS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NSS","NSS","0","NSS","NSS","NSS","0","0","0",""
"31",3,"NSS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NSS","NSS","0","NSS","NSS","NSS","0","0","0",""
"31",4,"NSS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NSS","NSS","0","NSS","NSS","NSS","0","0","0",""
"31",5,"NSS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NSS","NSS","0","NSS","NSS","NSS","0","0","0",""
"31",6,"NSS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NSS","NSS","0","NSS","NSS","NSS","0","0","0",""
"31",9,"","","","","","","","","","","","","","","","","","","",""
"32",1,"18840","312","176","0","NSS","NSS","NSS","NSS","NSS","58","9991","6702","53","NSS","NSS","NSS","NSS","NSS","1548",""
"32",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"32",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"32",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"32",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"32",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"32",9,"","","","","","","","","","","","","","","","","","","",""
