entidad,gdoestue,puesextt,puesex1,puesex2,puesex3,puesex4,puesex5,puesex6,puesex7,puesex8,puesex9,puesex10,puesex11,puesex12
"31",6,"541","14","33","26","24","37","93","79","187","19","29","0","0"
"31",7,"19","2","2","0","1","4","0","3","6","1","0","0","0"
"31",8,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"31",9,"","","","","","","","","","","","",""
"32",1,"1","0","0","0","0","0","0","0","0","0","1","0","0"
"32",2,"10","0","0","0","0","0","0","0","1","4","5","0","0"
"32",3,"37","0","0","0","0","1","0","0","7","17","12","0","0"
"32",4,"63","0","0","3","4","0","3","6","23","12","12","0","0"
"32",5,"21","2","1","1","2","0","0","1","8","3","3","0","0"
"32",6,"495","13","27","16","17","23","59","71","214","37","18","0","0"
"32",7,"42","2","3","0","1","2","7","8","12","5","2","0","0"
"32",8,"8","0","0","0","0","3","3","1","0","1","0","0","0"
"32",9,"","","","","","","","","","","","",""
