entidad,nacional,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5,oemsex6
"26",6,"NSS","0","NSS","0","0",""
"26",7,"NSS","0","NSS","0","0",""
"26",8,"NSS","0","NSS","0","0",""
"26",9,"NSS","0","NSS","0","0",""
"26",10,"NSS","0","NSS","0","0",""
"26",11,"NSS","0","NSS","0","0",""
"26",12,"NSS","0","NSS","0","0",""
"26",13,"NSS","0","NSS","0","0",""
"26",14,"NSS","0","NSS","0","0",""
"26",15,"NSS","0","NSS","0","0",""
"26",16,"NSS","0","NSS","0","0",""
"26",17,"NSS","0","NSS","0","0",""
"26",18,"NSS","0","NSS","0","0",""
"26",19,"NSS","0","NSS","0","0",""
"26",20,"194","180","14","0","0",""
"27",1,"41","0","0","40","1",""
"27",2,"0","0","0","0","0",""
"27",3,"0","0","0","0","0",""
"27",4,"0","0","0","0","0",""
"27",5,"0","0","0","0","0",""
"27",6,"0","0","0","0","0",""
"27",7,"0","0","0","0","0",""
"27",8,"0","0","0","0","0",""
"27",9,"0","0","0","0","0",""
"27",10,"0","0","0","0","0",""
"27",11,"0","0","0","0","0",""
"27",12,"0","0","0","0","0",""
"27",13,"0","0","0","0","0",""
"27",14,"0","0","0","0","0",""
"27",15,"0","0","0","0","0",""
"27",16,"0","0","0","0","0",""
"27",17,"0","0","0","0","0",""
"27",18,"0","0","0","0","0",""
"27",19,"0","0","0","0","0",""
"27",20,"1","0","0","1","0",""
"28",1,"NSS","NSS","NSS","0","0",""
"28",2,"NSS","NSS","NSS","0","0",""
"28",3,"NSS","NSS","NSS","0","0",""
"28",4,"NSS","NSS","NSS","0","0",""
"28",5,"NSS","NSS","NSS","0","0",""
"28",6,"NSS","NSS","NSS","0","0",""
"28",7,"NSS","NSS","NSS","0","0",""
"28",8,"NSS","NSS","NSS","0","0",""
"28",9,"NSS","NSS","NSS","0","0",""
"28",10,"NSS","NSS","NSS","0","0",""
"28",11,"NSS","NSS","NSS","0","0",""
"28",12,"NSS","NSS","NSS","0","0",""
"28",13,"NSS","NSS","NSS","0","0",""
"28",14,"NSS","NSS","NSS","0","0",""
"28",15,"NSS","NSS","NSS","0","0",""
"28",16,"NSS","NSS","NSS","0","0",""
"28",17,"NSS","NSS","NSS","0","0",""
"28",18,"NSS","NSS","NSS","0","0",""
"28",19,"NSS","NSS","NSS","0","0",""
"28",20,"NSS","NSS","NSS","0","0",""
"29",1,"23","23","0","0","0",""
"29",2,"0","0","0","0","0",""
"29",3,"0","0","0","0","0",""
"29",4,"0","0","0","0","0",""
"29",5,"0","0","0","0","0",""
"29",6,"0","0","0","0","0",""
"29",7,"0","0","0","0","0",""
"29",8,"0","0","0","0","0",""
"29",9,"0","0","0","0","0",""
"29",10,"0","0","0","0","0",""
"29",11,"0","0","0","0","0",""
"29",12,"0","0","0","0","0",""
"29",13,"0","0","0","0","0",""
"29",14,"0","0","0","0","0",""
"29",15,"0","0","0","0","0",""
"29",16,"0","0","0","0","0",""
"29",17,"0","0","0","0","0",""
"29",18,"0","0","0","0","0",""
"29",19,"0","0","0","0","0",""
"29",20,"0","0","0","0","0",""
"30",1,"47","0","0","45","2",""
"30",2,"0","0","0","0","0",""
"30",3,"0","0","0","0","0",""
"30",4,"0","0","0","0","0",""
"30",5,"0","0","0","0","0",""
"30",6,"0","0","0","0","0",""
"30",7,"0","0","0","0","0",""
"30",8,"0","0","0","0","0",""
"30",9,"0","0","0","0","0",""
"30",10,"0","0","0","0","0",""
"30",11,"0","0","0","0","0",""
"30",12,"0","0","0","0","0",""
"30",13,"0","0","0","0","0",""
"30",14,"0","0","0","0","0",""
"30",15,"0","0","0","0","0",""
"30",16,"0","0","0","0","0",""
"30",17,"0","0","0","0","0",""
"30",18,"0","0","0","0","0",""
"30",19,"0","0","0","0","0",""
"30",20,"0","0","0","0","0",""
"31",1,"18","0","0","16","2",""
"31",2,"NSS","0","0","NSS","0",""
"31",3,"NSS","0","0","NSS","0",""
"31",4,"NSS","0","0","NSS","0",""
"31",5,"NSS","0","0","NSS","0",""
"31",6,"NSS","0","0","NSS","0",""
"31",7,"NSS","0","0","NSS","0",""
"31",8,"NSS","0","0","NSS","0",""
"31",9,"NSS","0","0","NSS","0",""
"31",10,"NSS","0","0","NSS","0",""
"31",11,"NSS","0","0","NSS","0",""
"31",12,"NSS","0","0","NSS","0",""
"31",13,"NSS","0","0","NSS","0",""
"31",14,"NSS","0","0","NSS","0",""
"31",15,"NSS","0","0","NSS","0",""
"31",16,"NSS","0","0","NSS","0",""
"31",17,"NSS","0","0","NSS","0",""
"31",18,"NSS","0","0","NSS","0",""
"31",19,"NSS","0","0","NSS","0",""
"31",20,"3","0","0","3","0",""
"32",1,"19","0","0","19","NSS",""
"32",2,"NSS","0","0","0","NSS",""
"32",3,"NSS","0","0","0","NSS",""
"32",4,"NSS","0","0","0","NSS",""
"32",5,"NSS","0","0","0","NSS",""
"32",6,"NSS","0","0","0","NSS",""
"32",7,"NSS","0","0","0","NSS",""
"32",8,"NSS","0","0","0","NSS",""
"32",9,"NSS","0","0","0","NSS",""
"32",10,"NSS","0","0","0","NSS",""
"32",11,"NSS","0","0","0","NSS",""
"32",12,"NSS","0","0","0","NSS",""
"32",13,"NSS","0","0","0","NSS",""
"32",14,"NSS","0","0","0","NSS",""
"32",15,"NSS","0","0","0","NSS",""
"32",16,"NSS","0","0","0","NSS",""
"32",17,"NSS","0","0","0","NSS",""
"32",18,"NSS","0","0","0","NSS",""
"32",19,"NSS","0","0","0","NSS",""
"32",20,"1","0","0","0","1",""
